Anatomical Structures, Cell Types and Biomarkers Table  for Placenta v1.0																																																			
																																																			
Author: Louise Laurent, Mana Parast, Kathleen Fisch																																																			
Author ORCID(s):																																																			
Reviewer(s):																																																			
																																																			
General Publication(s):																																																			
Data DOI:																																																			
Date:																																																			
Version Number:																																																			
AS/1	AS/1/LABEL	AS/1/ID	AS/2	AS/2/LABEL	AS/2/ID	AS/3	AS/3/LABEL	AS/3/ID	AS/4	AS/4/LABEL	AS/4/ID	CT/1	CT/1/LABEL	CT/1/ID	CT/2	CT/2/LABEL	CT/2/ID	CT/3	CT/3/LABEL	CT/3/ID	BGene/1	BGene/1/LABEL	BGene/1/ID	BGene/2	BGene/2/LABEL	BGene/2/ID	BGene/3	BGene/3/LABEL	BGene/3/ID	BGene/4	BGene/4/LABEL	BGene/4/ID	BGene/5	BGene/5/LABEL	BGene/5/ID	BProtein/1	BProtein/1/LABEL	BProtein/1/ID	BProtein/2	BProtein/2/LABEL	BProtein/2/ID	FTU/1	FTU/1/LABEL	FTU/1/ID	REF/1	REF/1/DOI	REF/1/NOTES	REF/2	REF/2/DOI	REF/2/NOTES	Pertinent Negatives/comments
placenta	placenta	UBERON:0001987	Membranes			Amniotic Membrane	amnion	UBERON:0000305				Amniotic Epithelial Cell	epithelial cell of amnion	CL:0002536							POU5F1	POU class 5 homeobox 1	HGNC:9221	SOX2	SRY-box transcription factor 2	HGNC:11195	SSEA3	stage-specific embryonic antigen 3	globo-series glycans																						TERT, SSEA1
placenta	placenta	UBERON:0001987	Membranes			Amniotic Membrane	amnion	UBERON:0000305				Fibroblast	embryonic fibroblast	CL:2000042							CD44	CD44 molecule (Indian blood group)	HGNC:1681	THY1	Thy-1 cell surface antigen, alias CD90	HGNC:11801	ENG	endoglin, alias CD105	HGNC:3349	NT5E	5'-nucleotidase ecto, alias CD73	HGNC:8021																			CD34, CD45
placenta	placenta	UBERON:0001987	Membranes			Chorionic Membrane	chorion	UBERON:0003124				Extravillous trophoblast	extravillous trophoblast	CL:0008036							HLA-G	major histocompatibility complex, class I, G	HGNC:4964	KRT7	keratin 7	HGNC:6445	MCAM	melanoma cell adhesion molecule	HGNC:6934																						CGB
placenta	placenta	UBERON:0001987	Membranes			Chorionic Membrane	chorion	UBERON:0003124				Fibroblast	embryonic fibroblast	CL:2000042							CD44	CD44 molecule (Indian blood group)	HGNC:1681	THY1	Thy-1 cell surface antigen, alias CD90	HGNC:11801	ENG	endoglin, alias CD105	HGNC:3349	NT5E	5'-nucleotidase ecto, alias CD73	HGNC:8021																			CD34, CD45
placenta	placenta	UBERON:0001987	Membranes			Decidua	Decidua	UBERON:0002450				Endometrial Epithelial Cells									CD17	glycosphingolipid, not a gene		CD19	CD19 molecule	HGNC:1633	EPCAM	epithelial cell adhesion molecule	HGNC:11529	SSEA1	STAGE SPECIFIC EMBRYONIC ANTIGEN-1, alias CD15	cluster of carbohydrate epitopes 																			CD13, VIM
placenta	placenta	UBERON:0001987	Membranes			Decidua	Decidua	UBERON:0002450				Endometrial Stromal Cells (decidua)									CD44	CD44 molecule (Indian blood group)	HGNC:1681	THY1	Thy-1 cell surface antigen, alias CD90	HGNC:11801	ENG	endoglin, alias CD105	HGNC:3349	MME	membrane metalloendopeptidase, alias CD10	HGNC:7154																			KRT7
placenta	placenta	UBERON:0001987	Membranes			Decidua	Decidua	UBERON:0002450				Endothelial cell									MCAM	melanoma cell adhesion molecule	HGNC:6934	VWF	von Willebrand factor	HGNC:12726	ESR2	estrogen receptor 2	HGNC:3468	RARA	retinoic acid receptor alpha	HGNC:9864	RXRA	retinoid X receptor alpha	NR2B1																PGR, ESR1
placenta	placenta	UBERON:0001987	Membranes			Decidua	Decidua	UBERON:0002450				Uterine NK Cells									NCAM1	neural cell adhesion molecule 1; alias CD56	HGNC:7656	ITGA1	integrin subunit alpha 1, alias CD49a	HGNC:6134																									CD57
placenta	placenta	UBERON:0001987	Membranes			Decidua	Decidua	UBERON:0002450				Uterine macrophage									CD68	CD68 molecule	HGNC:1693	ITGAX	integrin subunit alpha X, alias CD11C	HGNC:6152	CD209	CD209 molecule	HGNC:1641	MRC1	mannose receptor C-type 1, alias CD206	HGNC:7228																			CD56
placenta	placenta	UBERON:0001987	Membranes			Decidua	Decidua	UBERON:0002450				Regulatory T Cell									FOXP3	forkhead box P3	HGNC:6106																												CD127
placenta	placenta	UBERON:0001987	Membranes			Decidua	Decidua	UBERON:0002450				Cytotoxic T Cell									CD8A	CD8a molecule, previous symbol CD8	HGNC:1706	CD28	CD28 molecule	HGNC:1653																									CD4
placenta	placenta	UBERON:0001987	Membranes			Decidua	Decidua	UBERON:0002450				B Cell (including plasma cells)									CD4	CD4 molecule	HGNC:1678	SDC1	syndecan 1, alias CD138	HGNC:10658										CD78															CD8
placenta	placenta	UBERON:0001987	Disc/chorionic plate	chorionic plate	UBERON:0004027	floating villi	tertiary chorionic villus	UBERON:0009995				Syncytiotrophoblast	syncytiotrophoblast cell	CL:0000525							CGB3	chorionic gonadotropin subunit beta 3, previously CGB	HGNC:1886	CSH1	chorionic somatomammotropin hormone 1	HGNC:2440	PSG4	pregnancy specific beta-1-glycoprotein 4	HGNC:9521	KRT7	keratin 7	HGNC:6445																			HLAG, MCAM
placenta	placenta	UBERON:0001987	Disc/chorionic plate	chorionic plate	UBERON:0004027	floating villi	tertiary chorionic villus	UBERON:0009995				Extravillous Trophoblast	extravillous trophoblast	CL:0008036							HLA-G	major histocompatibility complex, class I, G	HGNC:4964	KRT7	keratin 7	HGNC:6445	MCAM	melanoma cell adhesion molecule	HGNC:6934																						EGFR
placenta	placenta	UBERON:0001987	Disc/chorionic plate	chorionic plate	UBERON:0004027	floating villi	tertiary chorionic villus	UBERON:0009995				Cytotrophoblast	mononuclear cytotrophoblast cell	CL:0000523							EGFR	epidermal growth factor receptor	HGNC:3236	TP63	tumor protein p63	HGNC:15979	KRT7	keratin 7	HGNC:6445																						HLAG, CGB
placenta	placenta	UBERON:0001987	Disc/chorionic plate	chorionic plate	UBERON:0004027	floating villi	tertiary chorionic villus	UBERON:0009995				Macrophage (Hofbauer Cells)	Hofbauer cell	CL:3000001							CD163	CD163 molecule	HGNC:1631	FCGR1A	Fc fragment of IgG receptor Ia, alias CD64		CD68	CD68 molecule	HGNC:1693																						KRT7
placenta	placenta	UBERON:0001987	Disc/chorionic plate	chorionic plate	UBERON:0004027	floating villi	tertiary chorionic villus	UBERON:0009995				Placental Stromal Cells									CD44	CD44 molecule (Indian blood group)	HGNC:1681	THY1	Thy-1 cell surface antigen, alias CD90	HGNC:3613	ENG	endoglin, alias CD105	HGNC:3349	NT5E	5'-nucleotidase ecto, alias CD73	HGNC:8021																			KRT7
placenta	placenta	UBERON:0001987	Disc/chorionic plate	chorionic plate	UBERON:0004027	floating villi	tertiary chorionic villus	UBERON:0009995				Placental Microvascular Endothelial Cells									MCAM	melanoma cell adhesion molecule	HGNC:6934	VWF	von Willebrand factor	HGNC:12726	ESR2	estrogen receptor 2	HGNC:3468	RARA	retinoic acid receptor alpha	HGNC:9864	RXRA	retinoid X receptor alpha	NR2B1																PGR, ESR1
placenta	placenta	UBERON:0001987	Disc/basal plate			basal plate						Extravillous trophoblast	extravillous trophoblast	CL:0008036							HLA-G	major histocompatibility complex, class I, G	HGNC:4964	KRT7	keratin 7	HGNC:6445	MCAM	melanoma cell adhesion molecule	HGNC:6934																						EGFR
placenta	placenta	UBERON:0001987	Disc/basal plate			basal plate						Endometrial Epithelial Cells									CD17	glycosphingolipid, not a gene		CD19	CD19 molecule	HGNC:1633	EPCAM	epithelial cell adhesion molecule	HGNC:11529	SSEA1	STAGE SPECIFIC EMBRYONIC ANTIGEN-1, alias CD15	cluster of carbohydrate epitopes 																			CD13, VIM
placenta	placenta	UBERON:0001987	Disc/basal plate			basal plate						Endometrial Stromal Cells (decidua)	stromal cell of endometrium	CL:0002255							CD44	CD44 molecule (Indian blood group)	HGNC:1681	THY1	Thy-1 cell surface antigen, alias CD90	HGNC:11801	ENG	endoglin, alias CD105	HGNC:3349	MME	membrane metalloendopeptidase, alias CD10	HGNC:7154																			KRT7
placenta	placenta	UBERON:0001987	Disc/basal plate			basal plate						Uterine NK Cells									NCAM1	neural cell adhesion molecule 1; alias CD56	HGNC:7656	ITGA1	integrin subunit alpha 1, alias CD49a	HGNC:6134																									CD57
placenta	placenta	UBERON:0001987	Disc/basal plate			basal plate						Uterine macrophage									CD68	CD68 molecule	HGNC:1693	ITGAX	integrin subunit alpha X, alias CD11C	HGNC:6152	CD209	CD209 molecule	HGNC:1641	MRC1	mannose receptor C-type 1, alias CD206	HGNC:7228																			CD56
placenta	placenta	UBERON:0001987	Disc/basal plate			basal plate						Regulatory T Cell									FOXP3	forkhead box P3	HGNC:6106																												CD127
placenta	placenta	UBERON:0001987	Disc/basal plate			basal plate						Cytotoxic T Cell									CD8A	CD8a molecule, previous symbol CD8	HGNC:1706	CD28	CD28 molecule	HGNC:1653																									CD4
placenta	placenta	UBERON:0001987	Disc/basal plate			basal plate						B Cell (including plasma cells)									CD4	CD4 molecule	HGNC:1678	SDC1	syndecan 1, alias CD138	HGNC:10658										CD78															CD8